ccaa_iso,fecha,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_otras,num_casos_prueba_desconocida
CL,2020-08-09,264,263,0,1,0
CM,2020-08-09,116,116,0,0,0
CN,2020-08-09,90,90,0,0,0
CT,2020-08-09,525,525,0,0,0
EX,2020-08-09,10,10,0,0,0
GA,2020-08-09,64,64,0,0,0
IB,2020-08-09,164,164,0,0,0
MC,2020-08-09,94,94,0,0,0
MD,2020-08-09,926,926,0,0,0
ML,2020-08-09,5,5,0,0,0
NC,2020-08-09,116,116,0,0,0
PV,2020-08-09,524,524,0,0,0
RI,2020-08-09,20,20,0,0,0
VC,2020-08-09,240,240,0,0,0
AN,2020-08-10,439,439,0,0,0
AR,2020-08-10,562,525,0,1,36
AS,2020-08-10,26,26,0,0,0
CB,2020-08-10,41,41,0,0,0
CE,2020-08-10,2,2,0,0,0
CL,2020-08-10,224,223,0,1,0
CM,2020-08-10,184,184,0,0,0
CN,2020-08-10,137,137,0,0,0
CT,2020-08-10,1060,1058,0,2,0
EX,2020-08-10,27,27,0,0,0
GA,2020-08-10,114,114,0,0,0
IB,2020-08-10,308,308,0,0,0
MC,2020-08-10,123,123,0,0,0
MD,2020-08-10,1441,1441,0,0,0
ML,2020-08-10,14,13,0,0,1
NC,2020-08-10,97,97,0,0,0
PV,2020-08-10,492,492,0,0,0
RI,2020-08-10,54,54,0,0,0
VC,2020-08-10,365,365,0,0,0
AN,2020-08-11,481,481,0,0,0
AR,2020-08-11,377,335,0,0,42
AS,2020-08-11,26,26,0,0,0
CB,2020-08-11,74,74,0,0,0
CE,2020-08-11,4,4,0,0,0
CL,2020-08-11,256,255,0,1,0
CM,2020-08-11,197,197,0,0,0
CN,2020-08-11,153,153,0,0,0
CT,2020-08-11,973,969,0,4,0
EX,2020-08-11,34,34,0,0,0
GA,2020-08-11,111,111,0,0,0
IB,2020-08-11,252,252,0,0,0
MC,2020-08-11,121,121,0,0,0
MD,2020-08-11,1913,1913,0,0,0
ML,2020-08-11,9,7,0,0,2
NC,2020-08-11,123,123,0,0,0
PV,2020-08-11,560,560,0,0,0
RI,2020-08-11,71,71,0,0,0
VC,2020-08-11,363,363,0,0,0
AN,2020-08-12,556,556,0,0,0
AR,2020-08-12,468,393,0,0,75
AS,2020-08-12,27,27,0,0,0
CB,2020-08-12,49,49,0,0,0
CE,2020-08-12,2,2,0,0,0
CL,2020-08-12,300,300,0,0,0
CM,2020-08-12,203,203,0,0,0
CN,2020-08-12,184,184,0,0,0
CT,2020-08-12,1038,1037,0,1,0
EX,2020-08-12,72,72,0,0,0
GA,2020-08-12,139,139,0,0,0
IB,2020-08-12,264,264,0,0,0
MC,2020-08-12,142,142,0,0,0
MD,2020-08-12,1701,1701,0,0,0
ML,2020-08-12,8,8,0,0,0
NC,2020-08-12,94,94,0,0,0
PV,2020-08-12,596,596,0,0,0
RI,2020-08-12,57,56,0,0,1
VC,2020-08-12,431,431,0,0,0
AN,2020-08-13,606,606,0,0,0
AR,2020-08-13,460,374,0,0,86
AS,2020-08-13,17,17,0,0,0
CB,2020-08-13,46,46,0,0,0
CE,2020-08-13,4,4,0,0,0
CL,2020-08-13,302,302,0,0,0
CM,2020-08-13,252,252,0,0,0
CN,2020-08-13,148,148,0,0,0
CT,2020-08-13,994,992,0,1,1
EX,2020-08-13,66,66,0,0,0
GA,2020-08-13,128,128,0,0,0
IB,2020-08-13,292,292,0,0,0
MC,2020-08-13,190,190,0,0,0
MD,2020-08-13,1633,1633,0,0,0
ML,2020-08-13,1,1,0,0,0
NC,2020-08-13,90,90,0,0,0
PV,2020-08-13,359,359,0,0,0
RI,2020-08-13,57,57,0,0,0
VC,2020-08-13,409,409,0,0,0
AN,2020-08-14,689,689,0,0,0
AR,2020-08-14,436,355,0,0,81
AS,2020-08-14,22,22,0,0,0
CB,2020-08-14,58,58,0,0,0
CE,2020-08-14,9,9,0,0,0
CL,2020-08-14,347,347,0,0,0
CM,2020-08-14,208,208,0,0,0
CN,2020-08-14,195,194,0,0,1
CT,2020-08-14,1109,1108,0,1,0
EX,2020-08-14,46,46,0,0,0
GA,2020-08-14,159,159,0,0,0
IB,2020-08-14,290,290,0,0,0
MC,2020-08-14,174,174,0,0,0
MD,2020-08-14,2172,2172,0,0,0
ML,2020-08-14,6,6,0,0,0
NC,2020-08-14,87,87,0,0,0
PV,2020-08-14,280,280,0,0,0
RI,2020-08-14,58,58,0,0,0
VC,2020-08-14,478,478,0,0,0
AN,2020-08-15,619,619,0,0,0
AR,2020-08-15,372,253,0,0,119
AS,2020-08-15,29,29,0,0,0
CB,2020-08-15,52,52,0,0,0
CE,2020-08-15,8,8,0,0,0
CL,2020-08-15,304,303,0,1,0
CM,2020-08-15,195,195,0,0,0
CN,2020-08-15,209,208,0,0,1
CT,2020-08-15,755,755,0,0,0
EX,2020-08-15,29,29,0,0,0
GA,2020-08-15,174,174,0,0,0
IB,2020-08-15,222,222,0,0,0
MC,2020-08-15,175,175,0,0,0
MD,2020-08-15,1099,1099,0,0,0
ML,2020-08-15,12,12,0,0,0
NC,2020-08-15,122,122,0,0,0
PV,2020-08-15,493,493,0,0,0
RI,2020-08-15,48,48,0,0,0
VC,2020-08-15,390,390,0,0,0
AN,2020-08-16,540,540,0,0,0
AR,2020-08-16,335,223,0,0,112
AS,2020-08-16,24,24,0,0,0
CB,2020-08-16,54,54,0,0,0
CE,2020-08-16,1,1,0,0,0
CL,2020-08-16,291,291,0,0,0
CM,2020-08-16,166,166,0,0,0
CN,2020-08-16,148,146,0,0,2
CT,2020-08-16,689,689,0,0,0
EX,2020-08-16,40,40,0,0,0
GA,2020-08-16,117,117,0,0,0
IB,2020-08-16,218,218,0,0,0
MC,2020-08-16,128,128,0,0,0
MD,2020-08-16,830,830,0,0,0
ML,2020-08-16,4,4,0,0,0
NC,2020-08-16,78,78,0,0,0
PV,2020-08-16,534,534,0,0,0
RI,2020-08-16,53,52,0,0,1
VC,2020-08-16,339,339,0,0,0
AN,2020-08-17,688,688,0,0,0
AR,2020-08-17,400,220,0,0,180
AS,2020-08-17,22,22,0,0,0
CB,2020-08-17,54,54,0,0,0
CE,2020-08-17,14,14,0,0,0
CL,2020-08-17,332,332,0,0,0
CM,2020-08-17,241,241,0,0,0
CN,2020-08-17,239,239,0,0,0
CT,2020-08-17,1089,1088,0,1,0
EX,2020-08-17,53,53,0,0,0
GA,2020-08-17,204,204,0,0,0
IB,2020-08-17,360,360,0,0,0
MC,2020-08-17,218,218,0,0,0
MD,2020-08-17,1363,1363,0,0,0
ML,2020-08-17,10,10,0,0,0
NC,2020-08-17,91,91,0,0,0
PV,2020-08-17,682,682,0,0,0
RI,2020-08-17,75,75,0,0,0
VC,2020-08-17,506,506,0,0,0
AN,2020-08-18,714,714,0,0,0
AR,2020-08-18,410,8,0,0,402
AS,2020-08-18,30,30,0,0,0
CB,2020-08-18,64,64,0,0,0
CE,2020-08-18,7,7,0,0,0
CL,2020-08-18,397,396,0,1,0
CM,2020-08-18,270,270,0,0,0
CN,2020-08-18,229,229,0,0,0
CT,2020-08-18,1159,1154,0,5,0
EX,2020-08-18,79,79,0,0,0
GA,2020-08-18,226,226,0,0,0
IB,2020-08-18,306,306,0,0,0
MC,2020-08-18,184,184,0,0,0
MD,2020-08-18,2663,2663,0,0,0
ML,2020-08-18,8,8,0,0,0
NC,2020-08-18,103,103,0,0,0
PV,2020-08-18,564,564,0,0,0
RI,2020-08-18,83,83,0,0,0
VC,2020-08-18,501,501,0,0,0
AN,2020-08-19,662,662,0,0,0
AR,2020-08-19,332,9,0,0,323
AS,2020-08-19,29,29,0,0,0
CB,2020-08-19,38,38,0,0,0
CE,2020-08-19,0,0,0,0,0
CL,2020-08-19,420,420,0,0,0
CM,2020-08-19,292,292,0,0,0
CN,2020-08-19,194,193,0,0,1
CT,2020-08-19,1080,1076,0,4,0
EX,2020-08-19,96,96,0,0,0
GA,2020-08-19,249,249,0,0,0
IB,2020-08-19,331,331,0,0,0
MC,2020-08-19,206,206,0,0,0
MD,2020-08-19,2923,2923,0,0,0
ML,2020-08-19,7,7,0,0,0
NC,2020-08-19,114,114,0,0,0
PV,2020-08-19,658,658,0,0,0
RI,2020-08-19,87,86,0,0,1
VC,2020-08-19,524,524,0,0,0
AN,2020-08-20,736,736,0,0,0
AR,2020-08-20,353,14,0,0,339
AS,2020-08-20,30,30,0,0,0
CB,2020-08-20,48,48,0,0,0
CE,2020-08-20,4,4,0,0,0
CL,2020-08-20,529,527,0,2,0
CM,2020-08-20,321,321,0,0,0
CN,2020-08-20,229,227,0,0,2
CT,2020-08-20,1223,1220,0,3,0
EX,2020-08-20,80,80,0,0,0
GA,2020-08-20,209,209,0,0,0
IB,2020-08-20,327,327,0,0,0
MC,2020-08-20,221,221,0,0,0
MD,2020-08-20,2703,2703,0,0,0
ML,2020-08-20,9,8,0,0,1
NC,2020-08-20,101,101,0,0,0
PV,2020-08-20,433,433,0,0,0
RI,2020-08-20,78,78,0,0,0
VC,2020-08-20,547,547,0,0,0
AN,2020-08-21,794,794,0,0,0
AR,2020-08-21,274,20,0,0,254
AS,2020-08-21,33,33,0,0,0
CB,2020-08-21,98,98,0,0,0
CE,2020-08-21,7,7,0,0,0
CL,2020-08-21,386,384,0,1,1
CM,2020-08-21,373,373,0,0,0
CN,2020-08-21,242,242,0,0,0
CT,2020-08-21,1245,1241,0,4,0
EX,2020-08-21,92,92,0,0,0
GA,2020-08-21,250,250,0,0,0
IB,2020-08-21,293,293,0,0,0
MC,2020-08-21,271,271,0,0,0
MD,2020-08-21,3981,3981,0,0,0
ML,2020-08-21,15,13,0,0,2
NC,2020-08-21,148,148,0,0,0
PV,2020-08-21,374,374,0,0,0
RI,2020-08-21,69,69,0,0,0
VC,2020-08-21,589,589,0,0,0
AN,2020-08-22,758,758,0,0,0
AR,2020-08-22,308,20,0,0,288
AS,2020-08-22,37,37,0,0,0
CB,2020-08-22,82,82,0,0,0
CE,2020-08-22,12,12,0,0,0
CL,2020-08-22,277,277,0,0,0
CM,2020-08-22,299,299,0,0,0
CN,2020-08-22,268,268,0,0,0
CT,2020-08-22,739,738,0,1,0
EX,2020-08-22,86,86,0,0,0
GA,2020-08-22,229,229,0,0,0
IB,2020-08-22,224,224,0,0,0
MC,2020-08-22,272,272,0,0,0
MD,2020-08-22,1372,1372,0,0,0
ML,2020-08-22,7,6,0,0,1
NC,2020-08-22,109,109,0,0,0
PV,2020-08-22,524,524,0,0,0
RI,2020-08-22,86,86,0,0,0
VC,2020-08-22,549,549,0,0,0
AN,2020-08-23,652,652,0,0,0
AR,2020-08-23,217,37,0,0,180
AS,2020-08-23,44,44,0,0,0
CB,2020-08-23,31,31,0,0,0
CE,2020-08-23,6,6,0,0,0
CL,2020-08-23,291,289,0,1,1
CM,2020-08-23,272,272,0,0,0
CN,2020-08-23,212,211,0,0,1
CT,2020-08-23,650,650,0,0,0
EX,2020-08-23,64,64,0,0,0
GA,2020-08-23,211,211,0,0,0
IB,2020-08-23,180,180,0,0,0
MC,2020-08-23,235,235,0,0,0
MD,2020-08-23,894,894,0,0,0
ML,2020-08-23,16,15,0,0,1
NC,2020-08-23,122,122,0,0,0
PV,2020-08-23,685,685,0,0,0
RI,2020-08-23,95,95,0,0,0
VC,2020-08-23,418,418,0,0,0
AN,2020-08-24,749,749,0,0,0
AR,2020-08-24,257,35,0,0,222
AS,2020-08-24,49,49,0,0,0
CB,2020-08-24,35,35,0,0,0
CE,2020-08-24,10,9,0,1,0
CL,2020-08-24,443,439,0,4,0
CM,2020-08-24,354,354,0,0,0
CN,2020-08-24,295,295,0,0,0
CT,2020-08-24,1238,1236,0,2,0
EX,2020-08-24,72,72,0,0,0
GA,2020-08-24,273,273,0,0,0
IB,2020-08-24,240,240,0,0,0
MC,2020-08-24,257,257,0,0,0
MD,2020-08-24,1542,1542,0,0,0
ML,2020-08-24,17,14,0,0,3
NC,2020-08-24,131,131,0,0,0
PV,2020-08-24,754,754,0,0,0
RI,2020-08-24,68,68,0,0,0
VC,2020-08-24,600,600,0,0,0
AN,2020-08-25,761,761,0,0,0
AR,2020-08-25,312,21,0,0,291
AS,2020-08-25,38,38,0,0,0
CB,2020-08-25,184,184,0,0,0
CE,2020-08-25,12,12,0,0,0
CL,2020-08-25,508,507,0,0,1
CM,2020-08-25,332,331,0,1,0
CN,2020-08-25,293,293,0,0,0
CT,2020-08-25,1124,1123,0,1,0
EX,2020-08-25,105,105,0,0,0
GA,2020-08-25,260,260,0,0,0
IB,2020-08-25,256,256,0,0,0
MC,2020-08-25,282,282,0,0,0
MD,2020-08-25,3659,3659,0,0,0
ML,2020-08-25,14,14,0,0,0
NC,2020-08-25,149,149,0,0,0
PV,2020-08-25,820,820,0,0,0
RI,2020-08-25,88,88,0,0,0
VC,2020-08-25,502,502,0,0,0
AN,2020-08-26,876,876,0,0,0
AR,2020-08-26,267,141,0,1,125
AS,2020-08-26,34,34,0,0,0
CB,2020-08-26,170,170,0,0,0
CE,2020-08-26,7,7,0,0,0
CL,2020-08-26,432,431,0,1,0
CM,2020-08-26,385,384,0,1,0
CN,2020-08-26,287,287,0,0,0
CT,2020-08-26,1248,1243,0,5,0
EX,2020-08-26,88,88,0,0,0
GA,2020-08-26,289,289,0,0,0
IB,2020-08-26,266,266,0,0,0
MC,2020-08-26,281,281,0,0,0
MD,2020-08-26,2978,2978,0,0,0
ML,2020-08-26,9,9,0,0,0
NC,2020-08-26,276,276,0,0,0
PV,2020-08-26,659,659,0,0,0
RI,2020-08-26,128,128,0,0,0
VC,2020-08-26,601,601,0,0,0
AN,2020-08-27,894,894,0,0,0
AR,2020-08-27,208,19,0,0,189
AS,2020-08-27,34,34,0,0,0
CB,2020-08-27,137,137,0,0,0
CE,2020-08-27,6,6,0,0,0
CL,2020-08-27,547,547,0,0,0
CM,2020-08-27,416,415,0,1,0
CN,2020-08-27,281,280,0,0,1
CT,2020-08-27,1189,1184,0,5,0
EX,2020-08-27,83,83,0,0,0
GA,2020-08-27,277,277,0,0,0
IB,2020-08-27,196,196,0,0,0
MC,2020-08-27,295,295,0,0,0
MD,2020-08-27,3017,3017,0,0,0
ML,2020-08-27,6,6,0,0,0
NC,2020-08-27,145,145,0,0,0
PV,2020-08-27,414,414,0,0,0
RI,2020-08-27,77,77,0,0,0
VC,2020-08-27,479,479,0,0,0
AN,2020-08-28,799,799,0,0,0
AR,2020-08-28,260,14,0,0,246
AS,2020-08-28,41,41,0,0,0
CB,2020-08-28,82,82,0,0,0
CE,2020-08-28,4,4,0,0,0
CL,2020-08-28,476,475,0,1,0
CM,2020-08-28,374,374,0,0,0
CN,2020-08-28,267,267,0,0,0
CT,2020-08-28,1160,1159,0,1,0
EX,2020-08-28,130,129,0,0,1
GA,2020-08-28,319,319,0,0,0
IB,2020-08-28,219,219,0,0,0
MC,2020-08-28,289,289,0,0,0
MD,2020-08-28,4139,4139,0,0,0
ML,2020-08-28,16,14,0,0,2
NC,2020-08-28,152,152,0,0,0
PV,2020-08-28,443,443,0,0,0
RI,2020-08-28,76,75,0,0,1
VC,2020-08-28,539,539,0,0,0
AN,2020-08-29,754,754,0,0,0
AR,2020-08-29,244,11,0,0,233
AS,2020-08-29,34,34,0,0,0
CB,2020-08-29,103,103,0,0,0
CE,2020-08-29,7,7,0,0,0
CL,2020-08-29,478,478,0,0,0
CM,2020-08-29,314,314,0,0,0
CN,2020-08-29,272,272,0,0,0
CT,2020-08-29,628,628,0,0,0
EX,2020-08-29,84,84,0,0,0
GA,2020-08-29,274,274,0,0,0
IB,2020-08-29,170,170,0,0,0
MC,2020-08-29,275,275,0,0,0
MD,2020-08-29,1168,1168,0,0,0
ML,2020-08-29,17,17,0,0,0
NC,2020-08-29,155,155,0,0,0
PV,2020-08-29,521,521,0,0,0
RI,2020-08-29,83,82,0,0,1
VC,2020-08-29,531,531,0,0,0
AN,2020-08-30,681,681,0,0,0
AR,2020-08-30,167,5,0,0,162
AS,2020-08-30,46,46,0,0,0
CB,2020-08-30,94,94,0,0,0
CE,2020-08-30,10,10,0,0,0
CL,2020-08-30,305,304,0,1,0
CM,2020-08-30,256,256,0,0,0
CN,2020-08-30,272,272,0,0,0
CT,2020-08-30,552,551,0,1,0
EX,2020-08-30,118,113,0,0,5
GA,2020-08-30,203,203,0,0,0
IB,2020-08-30,120,120,0,0,0
MC,2020-08-30,229,229,0,0,0
MD,2020-08-30,932,932,0,0,0
ML,2020-08-30,8,8,0,0,0
NC,2020-08-30,101,101,0,0,0
PV,2020-08-30,564,564,0,0,0
RI,2020-08-30,85,85,0,0,0
VC,2020-08-30,306,306,0,0,0
AN,2020-08-31,776,776,0,0,0
AR,2020-08-31,255,11,0,0,244
AS,2020-08-31,26,26,0,0,0
CB,2020-08-31,126,126,0,0,0
CE,2020-08-31,13,13,0,0,0
CL,2020-08-31,260,258,0,0,2
CM,2020-08-31,288,288,0,0,0
CN,2020-08-31,261,261,0,0,0
CT,2020-08-31,1082,1079,0,3,0
EX,2020-08-31,108,107,1,0,0
GA,2020-08-31,190,190,0,0,0
IB,2020-08-31,182,182,0,0,0
MC,2020-08-31,255,255,0,0,0
MD,2020-08-31,1360,1360,0,0,0
ML,2020-08-31,13,13,0,0,0
NC,2020-08-31,190,190,0,0,0
PV,2020-08-31,686,686,0,0,0
RI,2020-08-31,53,53,0,0,0
VC,2020-08-31,320,320,0,0,0
AN,2020-09-01,762,762,0,0,0
AR,2020-09-01,199,0,0,0,199
AS,2020-09-01,69,69,0,0,0
CB,2020-09-01,116,116,0,0,0
CE,2020-09-01,7,7,0,0,0
CL,2020-09-01,365,365,0,0,0
CM,2020-09-01,357,357,0,0,0
CN,2020-09-01,247,246,0,0,1
CT,2020-09-01,1115,1110,0,5,0
EX,2020-09-01,121,121,0,0,0
GA,2020-09-01,241,241,0,0,0
IB,2020-09-01,147,147,0,0,0
MC,2020-09-01,267,267,0,0,0
MD,2020-09-01,3726,3726,0,0,0
ML,2020-09-01,24,22,0,0,2
NC,2020-09-01,186,186,0,0,0
PV,2020-09-01,706,706,0,0,0
RI,2020-09-01,83,83,0,0,0
VC,2020-09-01,360,360,0,0,0
AN,2020-09-02,670,670,0,0,0
AR,2020-09-02,229,1,0,0,228
AS,2020-09-02,69,69,0,0,0
CB,2020-09-02,103,103,0,0,0
CE,2020-09-02,7,7,0,0,0
CL,2020-09-02,374,373,0,1,0
CM,2020-09-02,411,411,0,0,0
CN,2020-09-02,214,214,0,0,0
CT,2020-09-02,962,957,0,5,0
EX,2020-09-02,135,134,0,0,1
GA,2020-09-02,256,256,0,0,0
IB,2020-09-02,136,136,0,0,0
MC,2020-09-02,251,251,0,0,0
MD,2020-09-02,3300,3300,0,0,0
ML,2020-09-02,21,20,0,0,1
NC,2020-09-02,150,150,0,0,0
PV,2020-09-02,601,601,0,0,0
RI,2020-09-02,76,74,0,0,2
VC,2020-09-02,421,421,0,0,0
AN,2020-09-03,522,522,0,0,0
AR,2020-09-03,309,0,0,0,309
AS,2020-09-03,71,71,0,0,0
CB,2020-09-03,60,60,0,0,0
CE,2020-09-03,2,2,0,0,0
CL,2020-09-03,485,485,0,0,0
CM,2020-09-03,328,328,0,0,0
CN,2020-09-03,225,225,0,0,0
CT,2020-09-03,1020,1019,0,1,0
EX,2020-09-03,154,153,0,0,1
GA,2020-09-03,249,249,0,0,0
IB,2020-09-03,92,92,0,0,0
MC,2020-09-03,206,206,0,0,0
MD,2020-09-03,3320,3320,0,0,0
ML,2020-09-03,8,6,0,0,2
NC,2020-09-03,168,168,0,0,0
PV,2020-09-03,486,486,0,0,0
RI,2020-09-03,81,81,0,0,0
VC,2020-09-03,262,262,0,0,0
AN,2020-09-04,686,686,0,0,0
AR,2020-09-04,183,0,0,0,183
AS,2020-09-04,23,23,0,0,0
CB,2020-09-04,69,69,0,0,0
CE,2020-09-04,6,6,0,0,0
CL,2020-09-04,388,385,0,3,0
CM,2020-09-04,309,309,0,0,0
CN,2020-09-04,199,199,0,0,0
CT,2020-09-04,1084,1081,0,3,0
EX,2020-09-04,139,139,0,0,0
GA,2020-09-04,202,202,0,0,0
IB,2020-09-04,35,35,0,0,0
MC,2020-09-04,170,170,0,0,0
MD,2020-09-04,3900,3900,0,0,0
ML,2020-09-04,10,10,0,0,0
NC,2020-09-04,160,160,0,0,0
PV,2020-09-04,397,397,0,0,0
RI,2020-09-04,51,51,0,0,0
VC,2020-09-04,277,277,0,0,0
AN,2020-09-05,519,519,0,0,0
AR,2020-09-05,282,0,0,0,282
AS,2020-09-05,67,67,0,0,0
CB,2020-09-05,90,90,0,0,0
CE,2020-09-05,4,4,0,0,0
CL,2020-09-05,323,323,0,0,0
CM,2020-09-05,175,175,0,0,0
CN,2020-09-05,204,204,0,0,0
CT,2020-09-05,457,457,0,0,0
EX,2020-09-05,119,118,0,0,1
GA,2020-09-05,180,180,0,0,0
IB,2020-09-05,19,19,0,0,0
MC,2020-09-05,110,110,0,0,0
MD,2020-09-05,1418,1418,0,0,0
ML,2020-09-05,2,2,0,0,0
NC,2020-09-05,162,162,0,0,0
PV,2020-09-05,636,636,0,0,0
RI,2020-09-05,39,39,0,0,0
VC,2020-09-05,236,236,0,0,0
AN,2020-09-06,363,363,0,0,0
AR,2020-09-06,171,0,0,0,171
AS,2020-09-06,0,0,0,0,0
CB,2020-09-06,8,8,0,0,0
CE,2020-09-06,7,7,0,0,0
CL,2020-09-06,309,309,0,0,0
CM,2020-09-06,81,81,0,0,0
CN,2020-09-06,111,111,0,0,0
CT,2020-09-06,290,290,0,0,0
EX,2020-09-06,96,96,0,0,0
GA,2020-09-06,124,124,0,0,0
IB,2020-09-06,0,0,0,0,0
MC,2020-09-06,89,89,0,0,0
MD,2020-09-06,788,788,0,0,0
ML,2020-09-06,11,10,0,0,1
NC,2020-09-06,75,75,0,0,0
PV,2020-09-06,74,74,0,0,0
RI,2020-09-06,13,13,0,0,0
VC,2020-09-06,126,126,0,0,0
