date,iso_code,nuts,name,supplier,one_dose
2021-01-05,ES,ES,España,Pfizer/BioNTech,139339
2021-01-07,ES,ES,España,Pfizer/BioNTech,207323
2021-01-08,ES,ES,España,Pfizer/BioNTech,277976
2021-01-11,ES,ES,España,Pfizer/BioNTech,406091
2021-01-12,ES,ES,España,Pfizer/BioNTech,488041
2021-01-13,ES,ES,España,Pfizer/BioNTech,581638
2021-01-14,ES,ES,España,Unknown,676186
2021-01-15,ES,ES,España,Unknown,768950
2021-01-18,ES,ES,España,Unknown,895627
2021-01-19,ES,ES,España,Unknown,956756
2021-01-20,ES,ES,España,Unknown,1010295
2021-01-21,ES,ES,España,Unknown,1054245
2021-01-22,ES,ES,España,Unknown,1097369
2021-01-25,ES,ES,España,Unknown,1148895
2021-01-26,ES,ES,España,Unknown,1167519
2021-01-27,ES,ES,España,Unknown,1183395
2021-01-28,ES,ES,España,Unknown,1202859
2021-01-29,ES,ES,España,Unknown,1222323
2021-02-01,ES,ES,España,Unknown,1251369
2021-02-02,ES,ES,España,Unknown,1254535
2021-02-03,ES,ES,España,Unknown,1265800
2021-02-04,ES,ES,España,Unknown,1279220
2021-02-05,ES,ES,España,Unknown,1305251
2021-02-08,ES,ES,España,Unknown,1318626
2021-02-09,ES,ES,España,Unknown,1328459
2021-02-10,ES,ES,España,Unknown,1343566
2021-02-11,ES,ES,España,Unknown,1377229
2021-02-12,ES,ES,España,Unknown,1422560
2021-02-15,ES,ES,España,Unknown,1491517
2021-02-16,ES,ES,España,Unknown,1527590
2021-02-17,ES,ES,España,Unknown,1571277
2021-02-18,ES,ES,España,Unknown,1638195
2021-02-19,ES,ES,España,Unknown,1764985
2021-02-22,ES,ES,España,Unknown,1893290
2021-02-23,ES,ES,España,Unknown,1956886
2021-02-24,ES,ES,España,Unknown,2063495
2021-02-25,ES,ES,España,Unknown,2204376
2021-02-26,ES,ES,España,Unknown,2361852
2021-03-01,ES,ES,España,Unknown,2567617
2021-03-02,ES,ES,España,Unknown,2642034
2021-03-03,ES,ES,España,Unknown,2772318
2021-03-04,ES,ES,España,Unknown,2920179
2021-03-05,ES,ES,España,Unknown,3129092
2021-03-08,ES,ES,España,Unknown,3328703
2021-03-09,ES,ES,España,Unknown,3436412
2021-03-10,ES,ES,España,Unknown,3541667
2021-03-11,ES,ES,España,Unknown,3668848
2021-03-12,ES,ES,España,Unknown,3769523
2021-03-15,ES,ES,España,Unknown,3951221
2021-03-16,ES,ES,España,Unknown,4013681
2021-03-17,ES,ES,España,Unknown,4052470
2021-03-18,ES,ES,España,Unknown,4106550
2021-03-22,ES,ES,España,Unknown,4211040
2021-03-23,ES,ES,España,Unknown,4252598
2021-03-24,ES,ES,España,Unknown,4332741
2021-03-25,ES,ES,España,Unknown,4436415
2021-03-29,ES,ES,España,Unknown,4949546
2021-03-30,ES,ES,España,Unknown,5069318
2021-03-31,ES,ES,España,Unknown,5281461
2021-04-01,ES,ES,España,Unknown,5510032
2021-04-03,ES,ES,España,Unknown,5671049
2021-04-05,ES,ES,España,Unknown,5845642
2021-04-06,ES,ES,España,Unknown,6069287
2021-04-07,ES,ES,España,Unknown,6362987
2021-04-08,ES,ES,España,Unknown,6734037
2021-04-09,ES,ES,España,Unknown,7099301
2021-04-12,ES,ES,España,Unknown,7613409
2021-04-13,ES,ES,España,Unknown,7874058
2021-04-14,ES,ES,España,Unknown,8187094
2021-04-15,ES,ES,España,Unknown,8567460
2021-04-16,ES,ES,España,Unknown,8937832
2021-04-19,ES,ES,España,Unknown,9377155
2021-04-20,ES,ES,España,Unknown,9524320
2021-04-21,ES,ES,España,Unknown,9821583
2021-04-22,ES,ES,España,Unknown,10077200
2021-04-23,ES,ES,España,Unknown,10341051
2021-04-26,ES,ES,España,Unknown,10731503
2021-04-27,ES,ES,España,Unknown,10948929
2021-04-28,ES,ES,España,Unknown,11196189
2021-04-29,ES,ES,España,Unknown,11455157
2021-04-30,ES,ES,España,Unknown,11698328
2021-05-03,ES,ES,España,Unknown,12097327
2021-05-04,ES,ES,España,Unknown,12315347
2021-05-05,ES,ES,España,Unknown,12620425
2021-05-06,ES,ES,España,Unknown,12900614
2021-05-07,ES,ES,España,Unknown,13205194
2021-05-10,ES,ES,España,Unknown,13730989
2021-05-11,ES,ES,España,Unknown,13962465
2021-05-12,ES,ES,España,Unknown,14250971
2021-05-13,ES,ES,España,Unknown,14487869
2021-05-14,ES,ES,España,Unknown,14843321
2021-05-17,ES,ES,España,Unknown,15252705
2021-05-18,ES,ES,España,Unknown,15427701
2021-05-19,ES,ES,España,Unknown,15672990
2021-05-20,ES,ES,España,Unknown,15981565
2021-05-21,ES,ES,España,Unknown,16279323
2021-05-24,ES,ES,España,Unknown,16641462
2021-05-25,ES,ES,España,Unknown,16884640
2021-05-26,ES,ES,España,Unknown,17119042
2021-05-27,ES,ES,España,Unknown,17418759
2021-05-28,ES,ES,España,Unknown,17637954
2021-05-31,ES,ES,España,Unknown,17962907
2021-06-01,ES,ES,España,Unknown,18109045
2021-06-02,ES,ES,España,Unknown,18356466
2021-06-03,ES,ES,España,Unknown,18649274
2021-06-04,ES,ES,España,Unknown,18966416
2021-06-07,ES,ES,España,Unknown,19714389
2021-06-08,ES,ES,España,Unknown,19975318
2021-06-10,ES,ES,España,Unknown,20553927
2021-06-11,ES,ES,España,Unknown,20889006
2021-06-14,ES,ES,España,Unknown,21399051
2021-06-15,ES,ES,España,Unknown,21637958
2021-06-16,ES,ES,España,Unknown,21972710
2021-06-17,ES,ES,España,Unknown,22288608
2021-06-18,ES,ES,España,Unknown,22607952
2021-06-21,ES,ES,España,Unknown,23122159
2021-06-22,ES,ES,España,Unknown,23364756
2021-06-23,ES,ES,España,Unknown,23691794
2021-06-24,ES,ES,España,Unknown,23998467
2021-06-25,ES,ES,España,Unknown,24244124
2021-06-28,ES,ES,España,Unknown,24710624
2021-06-29,ES,ES,España,Unknown,24924948
2021-06-30,ES,ES,España,Unknown,25236916
2021-07-01,ES,ES,España,Unknown,25543132
2021-07-02,ES,ES,España,Unknown,25862290
2021-07-05,ES,ES,España,Unknown,26419112
2021-07-06,ES,ES,España,Unknown,26640554
2021-07-07,ES,ES,España,Unknown,26909225
2021-07-08,ES,ES,España,Unknown,27189772
2021-07-09,ES,ES,España,Unknown,27446743
2021-07-12,ES,ES,España,Unknown,27905908
2021-07-13,ES,ES,España,Unknown,28127463
2021-07-14,ES,ES,España,Unknown,28386699
2021-07-15,ES,ES,España,Unknown,28670382
2021-07-16,ES,ES,España,Unknown,28943458
2021-07-19,ES,ES,España,Unknown,29394479
2021-07-20,ES,ES,España,Unknown,29607159
2021-07-21,ES,ES,España,Unknown,29865682
2021-07-22,ES,ES,España,Unknown,30126247
2021-07-23,ES,ES,España,Unknown,30408550
2021-07-26,ES,ES,España,Unknown,30736338
2021-07-27,ES,ES,España,Unknown,30904568
2021-07-28,ES,ES,España,Unknown,31223247
2021-07-29,ES,ES,España,Unknown,31500277
2021-07-30,ES,ES,España,Unknown,31758973
2021-08-02,ES,ES,España,Unknown,32076508
2021-08-03,ES,ES,España,Unknown,32259575
2021-08-04,ES,ES,España,Unknown,32557206
2021-08-05,ES,ES,España,Unknown,32798838
2021-08-06,ES,ES,España,Unknown,33047497
2021-08-09,ES,ES,España,Unknown,33330424
2021-08-11,ES,ES,España,Unknown,33777153
2021-08-12,ES,ES,España,Unknown,34102402
2021-08-13,ES,ES,España,Unknown,34361022
2021-08-16,ES,ES,España,Unknown,34621545
2021-08-17,ES,ES,España,Unknown,34772776
2021-08-18,ES,ES,España,Unknown,34978137
2021-08-19,ES,ES,España,Unknown,35174473
2021-08-20,ES,ES,España,Unknown,35347326
2021-08-23,ES,ES,España,Unknown,35572501
2021-08-24,ES,ES,España,Unknown,35736702
2021-08-25,ES,ES,España,Unknown,35855267
2021-08-27,ES,ES,España,Unknown,36142339
2021-08-30,ES,ES,España,Unknown,36251363
2021-08-31,ES,ES,España,Unknown,36336171
2021-09-01,ES,ES,España,Unknown,36438042
2021-09-02,ES,ES,España,Unknown,36518403
2021-09-03,ES,ES,España,Unknown,36601364
2021-09-06,ES,ES,España,Unknown,36725032
2021-09-07,ES,ES,España,Unknown,36794304
2021-09-08,ES,ES,España,Unknown,36912672
2021-09-09,ES,ES,España,Unknown,36971992
2021-09-10,ES,ES,España,Unknown,37031033
2021-09-13,ES,ES,España,Unknown,37120998
2021-09-14,ES,ES,España,Unknown,37147658
2021-09-15,ES,ES,España,Unknown,37207487
2021-09-16,ES,ES,España,Unknown,37245726
2021-09-17,ES,ES,España,Unknown,37289722
2021-09-20,ES,ES,España,Unknown,37356135
2021-09-21,ES,ES,España,Unknown,37375676
2021-09-22,ES,ES,España,Unknown,37412085
2021-09-23,ES,ES,España,Unknown,37441695
2021-09-24,ES,ES,España,Unknown,37474472
2021-09-27,ES,ES,España,Unknown,37515576
2021-09-28,ES,ES,España,Unknown,37535204
2021-09-29,ES,ES,España,Unknown,37560762
2021-09-30,ES,ES,España,Unknown,37583022
2021-10-01,ES,ES,España,Unknown,37605237
2021-10-04,ES,ES,España,Unknown,37630533
2021-10-05,ES,ES,España,Unknown,37644111
2021-10-06,ES,ES,España,Unknown,37658357
2021-10-07,ES,ES,España,Unknown,37675010
2021-10-08,ES,ES,España,Unknown,37690793
2021-10-11,ES,ES,España,Unknown,37719085
2021-10-13,ES,ES,España,Unknown,37732541
2021-10-14,ES,ES,España,Unknown,37749258
2021-10-15,ES,ES,España,Unknown,37770774
2021-10-18,ES,ES,España,Unknown,37793798
2021-10-19,ES,ES,España,Unknown,37801650
2021-10-20,ES,ES,España,Unknown,37810644
2021-10-21,ES,ES,España,Unknown,37840848
2021-10-22,ES,ES,España,Unknown,37855985
2021-10-25,ES,ES,España,Unknown,37881140
2021-10-26,ES,ES,España,Unknown,37890515
2021-10-27,ES,ES,España,Unknown,37900640
2021-10-28,ES,ES,España,Unknown,37915887
2021-10-30,ES,ES,España,Unknown,37938250
2021-11-03,ES,ES,España,Unknown,37961489
2021-11-04,ES,ES,España,Unknown,37972809
2021-11-05,ES,ES,España,Unknown,37984755
2021-11-08,ES,ES,España,Unknown,38001857
2021-11-10,ES,ES,España,Unknown,38019364
2021-11-11,ES,ES,España,Unknown,38030070
2021-11-12,ES,ES,España,Unknown,38043891
2021-11-15,ES,ES,España,Unknown,38063492
2021-11-16,ES,ES,España,Unknown,38070232
2021-11-17,ES,ES,España,Unknown,38076874
2021-11-18,ES,ES,España,Unknown,38096834
2021-11-19,ES,ES,España,Unknown,38108814
2021-11-22,ES,ES,España,Unknown,38136548
2021-11-23,ES,ES,España,Unknown,38148960
2021-11-24,ES,ES,España,Unknown,38162799
2021-11-25,ES,ES,España,Unknown,38180298
2021-11-26,ES,ES,España,Unknown,38187268
2021-11-29,ES,ES,España,Unknown,38198688
2021-11-30,ES,ES,España,Unknown,38238213
2021-12-01,ES,ES,España,Unknown,38255728
2021-12-02,ES,ES,España,Unknown,38278548
2021-12-03,ES,ES,España,Unknown,38307915
2021-12-07,ES,ES,España,Unknown,38346058
2021-12-09,ES,ES,España,Unknown,38364544
2021-12-10,ES,ES,España,Unknown,38387067
2021-12-13,ES,ES,España,Unknown,38413413
2021-12-14,ES,ES,España,Unknown,38440080
2021-12-15,ES,ES,España,Unknown,38466576
2021-12-16,ES,ES,España,Unknown,38485015
2021-12-17,ES,ES,España,Unknown,38506414
2021-12-20,ES,ES,España,Unknown,38909308
2021-12-21,ES,ES,España,Unknown,38999236
2021-12-22,ES,ES,España,Unknown,39168005
2021-12-23,ES,ES,España,Unknown,39302140
2021-12-27,ES,ES,España,Unknown,39408758
2021-12-28,ES,ES,España,Unknown,39464050
2021-12-29,ES,ES,España,Unknown,39516779
2021-12-30,ES,ES,España,Unknown,39561593
2022-01-03,ES,ES,España,Unknown,39704112
2022-01-04,ES,ES,España,Unknown,39756836
2022-01-05,ES,ES,España,Unknown,39828756
2022-01-07,ES,ES,España,Unknown,39862704
2022-01-10,ES,ES,España,Unknown,39979209
2022-01-11,ES,ES,España,Unknown,40015782
2022-01-12,ES,ES,España,Unknown,40078217
2022-01-13,ES,ES,España,Unknown,40137565
2022-01-14,ES,ES,España,Unknown,40214603
2022-01-17,ES,ES,España,Unknown,40333816
2022-01-18,ES,ES,España,Unknown,40381017
2022-01-19,ES,ES,España,Unknown,40429399
2022-01-20,ES,ES,España,Unknown,40580644
2022-01-21,ES,ES,España,Unknown,40646803
2022-01-24,ES,ES,España,Unknown,40700036
2022-01-25,ES,ES,España,Unknown,40721215
2022-01-26,ES,ES,España,Unknown,40745087
2022-01-27,ES,ES,España,Unknown,40765213
2022-01-28,ES,ES,España,Unknown,40780912
2022-01-31,ES,ES,España,Unknown,40808578
2022-02-02,ES,ES,España,Unknown,40824459
2022-02-03,ES,ES,España,Unknown,40833213
2022-02-04,ES,ES,España,Unknown,40840098
2022-02-07,ES,ES,España,Unknown,40855401
2022-02-08,ES,ES,España,Unknown,40862340
2022-02-09,ES,ES,España,Unknown,40868281
2022-02-10,ES,ES,España,Unknown,40875792
2022-02-11,ES,ES,España,Unknown,40883989
2022-02-14,ES,ES,España,Unknown,40899355
2022-02-15,ES,ES,España,Unknown,40904717
2022-02-16,ES,ES,España,Unknown,40913900
2022-02-17,ES,ES,España,Unknown,40921104
